timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1483614215.041103,0.234791,0.170883,-0.240728,0.027963,-0.408959,-0.190521,0.229251,-0.170053,-0.958398,-0.026477,0.057489,0.039132,-32.986294,-2.191498,-111.097595,,,,,,
,,,,,,,,,,,,,,,,33.759188,-118.389169,321.444244,-1.000000,-1.000000,1483614215.012139
,,,,,,,,,,,,,,,,33.759188,-118.389169,321.444244,-1.000000,-1.000000,1483614211.639671
,,,,,,,,,,,,,,,,33.759188,-118.389169,321.444244,-1.000000,-1.000000,1483614215.014206
,,,,,,,,,,,,,,,,33.759188,-118.389169,321.444244,-1.000000,-1.000000,1483614215.014793
1483614215.061122,0.226396,0.167777,-0.244609,-0.108445,-0.570437,-0.198371,0.221315,-0.166991,-0.960798,0.033018,0.035903,-0.039095,-33.211178,-2.190811,-110.872986,,,,,,
1483614215.081111,0.212538,0.161969,-0.247366,-0.343594,-0.793296,-0.205685,0.208181,-0.161261,-0.964705,0.035899,0.008811,-0.049669,-33.211178,-2.190811,-110.872986,,,,,,
,,,,,,,,,,,,,,,,33.759187,-118.389167,321.463135,-1.000000,-1.000000,1483614215.024468
,,,,,,,,,,,,,,,,33.759187,-118.389168,321.465790,-1.000000,-1.000000,1483614215.024468
1483614215.101131,0.195092,0.151450,-0.251073,-0.501808,-0.988829,-0.326201,0.191638,-0.150872,-0.969800,0.025312,0.027322,0.002637,-33.435009,-1.965363,-110.799438,,,,,,
1483614215.121120,0.173792,0.139320,-0.255722,-0.586847,-1.175352,-0.325035,0.171243,-0.138870,-0.975393,0.046439,-0.031678,0.027791,-34.781322,-1.287460,-110.204895,,,,,,
1483614215.141139,0.150750,0.127493,-0.259386,-0.640592,-1.299037,-0.237156,0.148960,-0.127148,-0.980635,0.061245,-0.043552,0.018171,-35.227261,-0.535904,-109.609253,,,,,,
1483614215.161128,0.128119,0.114518,-0.260782,-0.614129,-1.023960,-0.128740,0.126932,-0.114268,-0.985308,0.070761,-0.033895,0.066256,-35.677593,-0.610123,-109.534546,,,,,,
1483614215.181148,0.110950,0.103480,-0.261459,-0.494359,-0.786207,-0.098489,0.110130,-0.103295,-0.988535,0.051415,-0.003867,0.049311,-35.677593,-0.610123,-109.534546,,,,,,
1483614215.201137,0.098408,0.095636,-0.262294,-0.325535,-0.544837,-0.072412,0.097801,-0.095490,-0.990614,0.064797,-0.016647,0.061323,-36.345913,0.666794,-108.941956,,,,,,
1483614215.221157,0.090877,0.090235,-0.263327,-0.289107,-0.419236,-0.075045,0.090383,-0.090113,-0.991822,0.068049,-0.013952,0.055909,-36.569790,0.892120,-108.943420,,,,,,
1483614215.241146,0.082195,0.083707,-0.264625,-0.342115,-0.456839,-0.091763,0.081815,-0.083609,-0.993134,0.059466,-0.013818,0.037659,-36.421810,0.442566,-108.490906,,,,,,
1483614215.261135,0.074668,0.076796,-0.265216,-0.407407,-0.452156,-0.025885,0.074379,-0.076721,-0.994274,0.054924,-0.027100,0.059079,-37.693584,1.045166,-108.045837,,,,,,
1483614215.281154,0.067248,0.068665,-0.263194,-0.360290,-0.258708,0.151935,0.067039,-0.068611,-0.995389,0.056954,-0.020195,0.056057,-37.693584,1.045166,-108.045837,,,,,,
1483614215.301143,0.066438,0.065713,-0.258547,-0.056126,0.122859,0.234134,0.066246,-0.065666,-0.995640,0.025246,0.011207,0.080632,-37.841442,1.495026,-108.273315,,,,,,
1483614215.321163,0.071180,0.066527,-0.254470,0.045429,0.259681,0.182479,0.070962,-0.066477,-0.995261,0.045660,0.022334,-0.005334,-37.766262,1.495468,-107.898254,,,,,,
1483614215.341152,0.075373,0.066783,-0.251234,-0.029957,0.220825,0.161447,0.075134,-0.066733,-0.994938,-0.002182,0.036307,0.008488,-38.513699,1.947495,-107.301575,,,,,,
1483614215.361171,0.073322,0.063521,-0.248944,-0.343613,-0.448471,0.033977,0.073109,-0.063478,-0.995302,0.035030,0.106309,-0.224364,-37.765057,1.720688,-107.749329,,,,,,
