timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1484000403.277879,0.011327,0.375880,-1.148243,-0.879737,-0.060429,-0.415376,0.010536,-0.367092,-0.930125,0.004799,-0.044682,0.150340,-21.458481,80.282837,-14.141785,,,,,,
,,,,,,,,,,,,,,,,33.759143,-118.389637,319.667358,-1.000000,-1.000000,1484000403.260691
1484000403.297868,0.016860,0.358837,-1.155853,-0.800258,0.257575,-0.306311,0.015786,-0.351186,-0.936173,-0.013283,-0.073192,0.077454,-21.903595,81.184692,-13.396973,,,,,,
,,,,,,,,,,,,,,,,33.759203,-118.389405,312.195435,0.490000,286.875000,1484000364.000079
1484000403.317887,0.025787,0.347325,-1.161042,-0.404628,0.406444,-0.278357,0.024245,-0.340384,-0.939974,0.128465,-0.007409,-0.045073,-21.903595,81.184692,-13.396973,,,,,,
1484000403.337876,0.040587,0.344420,-1.175559,0.053819,0.441947,-1.001734,0.038192,-0.337651,-0.940496,0.252747,0.139607,0.004278,-21.893890,83.060608,-12.731262,,,,,,
1484000403.357896,0.061388,0.346467,-1.209825,0.222302,0.530292,-1.910093,0.057704,-0.339577,-0.938807,0.289037,0.127876,0.224710,-21.892044,83.435486,-12.808167,,,,,,
1484000403.377885,0.090505,0.346581,-1.245857,0.018828,0.968469,-1.288271,0.085007,-0.339684,-0.936690,0.091415,-0.226585,0.222945,-21.745132,82.835083,-12.954956,,,,,,
1484000403.397874,0.105456,0.342946,-1.253730,-0.172593,0.213936,0.001107,0.099131,-0.336263,-0.936536,0.035116,-0.249339,0.074888,-21.517502,83.359741,-12.957275,,,,,,
1484000403.417893,0.095907,0.340293,-1.250675,-0.160309,-0.785028,0.119997,0.090269,-0.333763,-0.938325,0.028826,-0.110481,0.136109,-21.517502,83.359741,-12.957275,,,,,,
1484000403.437882,0.070112,0.329309,-1.248694,-0.876894,-1.362343,0.032817,0.066290,-0.323389,-0.943941,0.118768,0.080515,-0.082899,-20.243423,83.207336,-13.254578,,,,,,
1484000403.457902,0.045683,0.302914,-1.248550,-1.532380,-1.239507,-0.083749,0.043588,-0.298302,-0.953476,0.512656,0.243569,0.089767,-22.036880,84.411621,-12.213318,,,,,,
1484000403.477891,0.014212,0.266095,-1.238615,-2.083057,-1.565783,0.802143,0.013711,-0.262965,-0.964708,0.118293,-0.319554,0.237962,-23.672379,87.190857,-11.029663,,,,,,
