timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1484030198.224612,0.026611,0.760923,-0.850810,0.184945,1.275632,0.631134,0.019269,-0.689590,-0.723944,-0.011518,-0.026429,0.073324,13.512878,21.846069,12.977844,,,,,,
,,,,,,,,,,,,,,,,33.759128,-118.389371,310.551147,0.000000,-1.000000,1484030198.195164
,,,,,,,,,,,,,,,,33.759128,-118.389371,310.551147,0.000000,-1.000000,1484030198.008693
1484030198.244601,0.040347,0.765234,-0.831569,0.213558,1.405297,0.732954,0.029091,-0.692706,-0.720633,-0.021919,0.033481,0.065375,13.512878,21.846069,12.977844,,,,,,
1484030198.264621,0.057347,0.771401,-0.811265,0.311868,1.664102,0.754331,0.041091,-0.697141,-0.715756,-0.054016,0.046689,0.102307,14.032181,20.720154,12.834229,,,,,,
1484030198.284610,0.076016,0.780392,-0.790157,0.478111,1.662315,0.811360,0.053968,-0.703558,-0.708586,-0.083905,0.064352,0.012434,14.625671,19.222168,14.792664,,,,,,
1484030198.304629,0.093549,0.792973,-0.768574,0.581604,1.662166,0.803125,0.065550,-0.712443,-0.698662,-0.125105,0.112452,-0.057106,16.117722,17.570801,15.403198,,,,,,
1484030198.324618,0.111897,0.805010,-0.749906,0.523466,1.511071,0.639643,0.077394,-0.720837,-0.688770,-0.058809,0.082440,-0.151684,15.961624,16.296875,15.934204,,,,,,
1484030198.344638,0.127874,0.817437,-0.736919,0.593771,1.165794,0.447109,0.087239,-0.729395,-0.678507,-0.018498,0.057062,-0.233572,15.961624,16.296875,15.934204,,,,,,
1484030198.364627,0.150021,0.830907,-0.731737,0.687401,1.474784,0.128631,0.100766,-0.738543,-0.666633,-0.037778,0.055743,-0.139809,16.479996,14.872559,16.917175,,,,,,
1484030198.384646,0.190435,0.847618,-0.738436,1.002826,1.926874,-0.159115,0.125264,-0.749706,-0.649807,0.026927,0.040752,-0.105930,16.999298,13.672668,17.523926,,,,,,
1484030198.404635,0.241527,0.869338,-0.749676,1.165345,2.270028,-0.057613,0.154354,-0.763902,-0.626601,0.033207,-0.005797,-0.106188,18.042664,12.099854,20.008362,,,,,,
1484030198.424655,0.294354,0.892449,-0.754257,1.128756,2.600566,0.310135,0.182054,-0.778611,-0.600518,0.035064,-0.016922,-0.058280,18.713150,10.977173,22.190002,,,,,,
1484030198.444644,0.347029,0.915298,-0.751131,1.118275,2.633176,0.524057,0.207313,-0.792744,-0.573217,0.008156,0.012288,-0.064737,18.713150,10.977173,22.190002,,,,,,
1484030198.464664,0.382400,0.944806,-0.751623,1.433832,1.374836,0.452072,0.218628,-0.810383,-0.543582,0.043686,0.053974,-0.130155,19.534760,10.079102,24.370728,,,,,,
1484030198.484653,0.403102,0.974987,-0.751688,1.397690,0.802043,0.740086,0.220135,-0.827695,-0.516199,0.045566,-0.097278,-0.133261,20.055527,9.031494,26.401672,,,,,,
1484030198.504647,0.390674,1.009982,-0.733133,1.419397,-0.255769,1.416544,0.202544,-0.846822,-0.491801,0.026246,-0.116816,-0.122610,19.821091,6.934937,28.511902,,,,,,
1484030198.524637,0.334647,1.046559,-0.687421,1.185331,-1.129874,1.924510,0.164399,-0.865706,-0.472785,0.035094,-0.106050,-0.049004,18.613617,5.362915,29.267944,,,,,,
1484030198.544657,0.250603,1.075717,-0.617347,0.706392,-1.056737,2.102422,0.117819,-0.879931,-0.460261,-0.021369,-0.002317,0.041545,18.613617,5.362915,29.267944,,,,,,
1484030198.564646,0.158544,1.091311,-0.533930,0.160092,-0.877832,2.076084,0.072834,-0.887233,-0.455536,-0.083896,-0.023534,0.044358,18.006042,3.863586,29.124512,,,,,,
1484030198.584665,0.048367,1.090951,-0.435840,-0.515534,-1.545445,2.422189,0.022320,-0.887066,-0.461103,-0.320232,-0.071598,-0.124896,15.751373,2.966370,28.750610,,,,,,
1484030198.604654,-0.106761,1.075377,-0.317421,-0.700611,-3.182511,3.038551,-0.050658,-0.879770,-0.472694,-0.551561,-0.343940,-0.363106,12.887970,0.492554,26.658691,,,,,,
1484030198.624674,-0.300366,1.051089,-0.190723,-0.509600,-4.630208,3.343096,-0.146937,-0.867964,-0.474392,-0.585913,-0.311479,-0.386326,9.209503,-0.029480,24.930725,,,,,,
1484030198.644663,-0.493096,1.019866,-0.083260,-0.371958,-5.191235,2.920036,-0.247792,-0.852038,-0.461118,-0.676815,-0.152219,-0.241457,9.209503,-0.029480,24.930725,,,,,,
1484030198.664681,-0.646242,0.991589,-0.019512,-0.165277,-4.780542,1.649131,-0.329615,-0.836897,-0.436986,-0.804738,-0.115435,-0.298029,5.614090,1.023865,23.570129,,,,,,
1484030198.684670,-0.742876,0.989673,-0.003983,0.439388,-3.763665,-0.426491,-0.371324,-0.835846,-0.404326,-0.825164,-0.143417,-0.448579,2.165466,1.402527,22.588074,,,,,,
1484030198.704690,-0.780657,1.028702,-0.025733,1.350572,-2.193090,-2.557650,-0.363085,-0.856630,-0.366544,-0.684355,-0.088896,-0.609927,-0.306824,2.005310,21.981323,,,,,,
1484030198.724679,-0.752273,1.110543,-0.081760,2.427045,-0.348298,-4.631180,-0.303505,-0.895940,-0.324309,-0.524315,-0.055110,-0.652559,1.418045,1.854553,23.184692,,,,,,
1484030198.744699,-0.592754,1.234109,-0.231499,3.298609,1.965373,-7.100828,-0.184556,-0.943854,-0.274004,-0.343078,0.074546,-0.583433,1.418045,1.854553,23.184692,,,,,,
1484030198.764688,-0.007065,1.362684,-0.763626,4.212837,4.542624,-9.501325,-0.001460,-0.978423,-0.206608,-0.062642,0.289031,-0.500606,6.063721,0.800476,25.071899,,,,,,
1484030198.784708,1.169016,1.330395,-1.844427,5.768702,6.557446,-10.720334,0.219132,-0.971243,-0.093108,0.168975,0.504705,-0.332353,12.144058,1.546143,28.302246,,,,,,
1484030198.804697,1.767184,1.130568,-2.315554,7.360235,7.956265,-10.239450,0.417955,-0.904654,0.083153,0.210952,0.806296,-0.110054,18.698563,6.722229,35.561218,,,,,,
1484030198.824716,2.057379,0.901861,-2.480147,7.997543,7.106815,-8.693658,0.548174,-0.784482,0.289988,0.048979,0.916395,0.057409,23.183853,31.425720,59.069458,,,,,,
