timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
,,,,,,,,,,,,,,,,33.759176,-118.389183,321.613190,-1.000000,-1.000000,1484020758.886341
1484020758.923140,-1.481806,0.011559,-2.528704,0.001493,-0.005973,0.001157,-0.995976,-0.011559,-0.088867,0.011388,0.000481,-0.000336,-48.969376,31.596741,50.935364,,,,,,
,,,,,,,,,,,,,,,,33.759177,-118.389181,321.613190,-1.000000,-1.000000,1484020747.255295
1484020758.943129,-1.481892,0.011594,-2.528679,0.000426,-0.005981,0.001153,-0.995984,-0.011594,-0.088781,0.014248,-0.000003,0.001059,-48.969376,31.596741,50.935364,,,,,,
1484020758.963148,-1.482033,0.011623,-2.528680,-0.000633,-0.007052,0.001164,-0.995996,-0.011623,-0.088641,0.012094,-0.001195,0.001254,-48.670013,31.446594,51.161621,,,,,,
1484020758.983137,-1.482140,0.011668,-2.528655,0.001485,-0.004911,0.001140,-0.996005,-0.011668,-0.088534,0.010775,-0.001150,0.001925,-49.494263,31.597839,51.159607,,,,,,
1484020759.003126,-1.482239,0.011688,-2.528614,0.001485,-0.004910,0.001140,-0.996013,-0.011688,-0.088436,0.009914,0.000137,0.002025,-49.120026,31.447266,51.160950,,,,,,
1484020759.023146,-1.482209,0.011660,-2.528569,0.003609,-0.002764,-0.001015,-0.996011,-0.011659,-0.088465,0.011270,0.001787,-0.002599,-48.746292,31.221313,50.862610,,,,,,
1484020759.043135,-1.482131,0.011576,-2.528541,0.001488,-0.004904,0.000075,-0.996005,-0.011575,-0.088544,0.010699,0.003458,-0.004520,-48.746292,31.221313,50.862610,,,,,,
1484020759.063154,-1.482039,0.011557,-2.528520,0.002555,-0.004891,0.000079,-0.995997,-0.011557,-0.088634,0.012034,0.001440,-0.004734,-49.119720,31.522095,51.010559,,,,,,
1484020759.083143,-1.481924,0.011518,-2.528493,0.000411,-0.003845,0.001126,-0.995987,-0.011518,-0.088750,0.012864,-0.000400,-0.004039,-49.194489,31.522888,51.460449,,,,,,
1484020759.103163,-1.481914,0.011538,-2.528471,-0.000637,-0.005974,0.000085,-0.995986,-0.011538,-0.088759,0.010360,0.000262,-0.001893,-48.970016,31.447021,51.161133,,,,,,
1484020759.123152,-1.481942,0.011522,-2.528473,0.000422,-0.004901,0.000073,-0.995989,-0.011522,-0.088732,0.008684,0.000337,0.000124,-49.119766,31.521973,50.935547,,,,,,
1484020759.143171,-1.481980,0.011502,-2.528481,-0.000660,-0.002787,0.000043,-0.995993,-0.011502,-0.088694,0.011785,0.001004,0.000361,-49.119766,31.521973,50.935547,,,,,,
1484020759.163160,-1.482021,0.011479,-2.528483,0.000429,-0.005961,0.000088,-0.995996,-0.011479,-0.088653,0.010492,-0.000713,-0.002168,-48.668106,31.821716,51.234741,,,,,,
1484020759.183180,-1.482025,0.011532,-2.528448,0.001493,-0.005950,0.001156,-0.995996,-0.011532,-0.088648,0.010202,-0.001560,-0.002599,-49.044525,31.522522,51.385620,,,,,,
1484020759.203169,-1.482004,0.011556,-2.528425,0.001496,-0.005947,0.000089,-0.995994,-0.011556,-0.088670,0.011802,-0.000468,-0.002638,-48.971710,31.146484,50.787659,,,,,,
1484020759.223188,-1.481961,0.011571,-2.528398,0.000406,-0.002769,0.000044,-0.995990,-0.011570,-0.088712,0.011386,0.000554,-0.002886,-48.820312,31.372131,51.311707,,,,,,
1484020759.243177,-1.481894,0.011594,-2.528360,0.001484,-0.003817,-0.001006,-0.995984,-0.011594,-0.088779,0.013364,-0.000277,-0.002896,-48.820312,31.372131,51.311707,,,,,,
1484020759.263197,-1.481899,0.011617,-2.528337,0.001478,-0.003817,0.001127,-0.995984,-0.011617,-0.088774,0.010968,-0.001170,-0.001131,-49.120026,31.447266,51.160950,,,,,,
1484020759.283186,-1.481911,0.011625,-2.528317,0.000422,-0.004885,0.000071,-0.995985,-0.011625,-0.088762,0.010771,-0.000338,-0.000776,-49.269943,31.447754,51.310669,,,,,,
1484020759.303206,-1.481924,0.011666,-2.528294,0.000422,-0.004884,0.000070,-0.995986,-0.011665,-0.088750,0.012374,-0.001945,-0.001964,-49.045395,31.372192,51.161438,,,,,,
1484020759.323195,-1.481934,0.011624,-2.528275,0.001489,-0.004873,0.000074,-0.995987,-0.011624,-0.088739,0.010574,0.001538,-0.001074,-48.971100,31.222168,51.237305,,,,,,
1484020759.343214,-1.481936,0.011595,-2.528231,0.002558,-0.004861,-0.000989,-0.995988,-0.011595,-0.088737,0.012650,0.001326,-0.003899,-48.971100,31.222168,51.237305,,,,,,
1484020759.363203,-1.481926,0.011529,-2.528207,0.000419,-0.004879,0.001139,-0.995987,-0.011529,-0.088748,0.012589,0.001870,-0.001752,-48.968628,31.672852,51.684937,,,,,,
1484020759.383223,-1.481907,0.011482,-2.528183,0.000422,-0.004876,0.000073,-0.995986,-0.011482,-0.088766,0.009857,0.001686,-0.002298,-48.820129,31.446533,50.936340,,,,,,
1484020759.403200,-1.481876,0.011454,-2.528149,0.002536,-0.002733,0.001118,-0.995984,-0.011454,-0.088797,0.012967,0.000009,-0.002283,-48.971634,31.146729,50.937622,,,,,,
1484020759.423189,-1.481868,0.011493,-2.528122,0.001492,-0.004861,-0.000990,-0.995983,-0.011492,-0.088806,0.011806,-0.001828,-0.003037,-49.495239,31.373352,51.460754,,,,,,
1484020759.443208,-1.481944,0.011543,-2.528082,0.002563,-0.005913,0.000092,-0.995989,-0.011542,-0.088729,0.012713,-0.000970,0.000228,-49.495239,31.373352,51.460754,,,,,,
1484020759.463197,-1.481979,0.011604,-2.528047,0.001496,-0.005921,0.000088,-0.995991,-0.011603,-0.088694,0.010289,-0.001855,-0.000768,-49.345123,31.447327,50.935547,,,,,,
1484020759.483217,-1.482042,0.011636,-2.528008,0.001489,-0.004859,0.000073,-0.995996,-0.011636,-0.088632,0.008310,-0.000022,-0.001120,-48.744492,31.596069,50.710754,,,,,,
1484020759.503206,-1.482040,0.011605,-2.527968,0.001481,-0.003796,0.000060,-0.995997,-0.011604,-0.088633,0.012186,0.002052,-0.001866,-48.970963,31.296509,50.786926,,,,,,
1484020759.523226,-1.481925,0.011587,-2.527930,0.002552,-0.004845,0.001144,-0.995987,-0.011587,-0.088748,0.012863,0.000723,-0.002865,-49.045319,31.372437,51.311401,,,,,,
1484020759.543215,-1.481843,0.011569,-2.527886,0.002555,-0.004841,0.000077,-0.995980,-0.011569,-0.088830,0.011757,0.000689,-0.004157,-49.045319,31.372437,51.311401,,,,,,
1484020759.563235,-1.481796,0.011586,-2.527858,0.000425,-0.004855,-0.000995,-0.995975,-0.011585,-0.088877,0.010669,0.000279,-0.002478,-49.346619,31.147339,50.937073,,,,,,
1484020759.583224,-1.481764,0.011549,-2.527834,0.001481,-0.003783,0.000061,-0.995973,-0.011549,-0.088909,0.010163,0.000044,-0.002064,-49.121338,31.221741,50.787048,,,,,,
1484020759.603242,-1.481763,0.011474,-2.527812,0.002558,-0.004832,-0.000987,-0.995974,-0.011474,-0.088910,0.010744,0.002883,-0.001788,-48.671249,31.221313,50.937683,,,,,,
1484020759.623231,-1.481731,0.011438,-2.527795,0.001492,-0.004838,-0.000989,-0.995971,-0.011437,-0.088942,0.010772,0.001779,-0.003145,-49.421432,31.147949,51.311951,,,,,,
1484020759.643251,-1.481746,0.011382,-2.527765,0.000419,-0.004848,0.001141,-0.995973,-0.011381,-0.088927,0.011018,0.002638,-0.001847,-49.421432,31.147949,51.311951,,,,,,
1484020759.663240,-1.481776,0.011346,-2.527746,0.001488,-0.004837,0.000078,-0.995976,-0.011346,-0.088898,0.011128,0.001473,0.000137,-49.045502,31.371887,50.936401,,,,,,
1484020759.683259,-1.481780,0.011326,-2.527723,0.001496,-0.005896,0.000093,-0.995977,-0.011325,-0.088893,0.010930,0.001529,-0.002110,-49.270432,31.372498,51.086060,,,,,,
1484020759.703249,-1.481822,0.011341,-2.527699,0.001493,-0.005896,0.001159,-0.995980,-0.011341,-0.088851,0.011560,-0.001828,-0.000794,-48.744461,31.596191,50.785767,,,,,,
1484020759.723269,-1.481886,0.011356,-2.527670,0.001493,-0.005895,0.001159,-0.995986,-0.011356,-0.088788,0.010939,0.000461,-0.000079,-49.120209,31.372925,51.536316,,,,,,
1484020759.743258,-1.481921,0.011403,-2.527631,0.001499,-0.005891,-0.000975,-0.995988,-0.011402,-0.088752,0.011064,-0.000774,-0.001793,-49.120209,31.372925,51.536316,,,,,,
1484020759.763278,-1.481962,0.011427,-2.527607,0.001485,-0.004830,0.001144,-0.995992,-0.011427,-0.088712,0.012136,-0.000383,-0.001605,-48.819763,31.521545,50.935974,,,,,,
1484020759.783267,-1.481979,0.011427,-2.527567,0.002563,-0.005879,0.000094,-0.995993,-0.011426,-0.088695,0.011466,-0.000476,-0.001316,-49.196136,31.222412,51.161926,,,,,,
1484020759.803285,-1.481960,0.011442,-2.527513,0.002555,-0.004816,0.000080,-0.995991,-0.011442,-0.088714,0.009984,-0.000247,-0.002457,-49.045273,31.372559,51.386414,,,,,,
1484020759.823274,-1.481935,0.011450,-2.527491,0.001484,-0.003760,-0.001004,-0.995989,-0.011449,-0.088738,0.012179,-0.000681,-0.000815,-48.970062,31.446960,51.086121,,,,,,
1484020759.843263,-1.481900,0.011485,-2.527456,0.001486,-0.004821,0.001142,-0.995986,-0.011485,-0.088774,0.012724,-0.001363,-0.002611,-48.970062,31.446960,51.086121,,,,,,
1484020759.863283,-1.481922,0.011473,-2.527427,0.001493,-0.005881,0.001157,-0.995988,-0.011473,-0.088752,0.010300,-0.000322,-0.002007,-48.895020,31.446960,51.161255,,,,,,
1484020759.883272,-1.481972,0.011399,-2.527391,0.000434,-0.006951,0.001169,-0.995993,-0.011399,-0.088702,0.011084,0.003540,-0.002316,-48.819260,31.596863,51.160645,,,,,,
1484020759.903291,-1.481970,0.011368,-2.527345,0.002552,-0.004807,0.001147,-0.995993,-0.011367,-0.088704,0.011176,-0.001130,-0.001506,-49.493988,31.598633,51.684509,,,,,,
1484020759.923280,-1.481940,0.011355,-2.527323,0.000422,-0.004822,0.000075,-0.995991,-0.011355,-0.088734,0.011448,0.001361,-0.003109,-49.118225,31.822083,51.009033,,,,,,
1484020759.943300,-1.481920,0.011376,-2.527294,0.000422,-0.004820,0.000074,-0.995989,-0.011376,-0.088754,0.010652,-0.000389,-0.002845,-49.118225,31.822083,51.009033,,,,,,
1484020759.963289,-1.481872,0.011409,-2.527267,0.002551,-0.003736,-0.001001,-0.995984,-0.011409,-0.088801,0.012067,-0.000127,-0.003240,-48.895126,31.446655,50.936218,,,,,,
1484020759.983309,-1.481862,0.011421,-2.527242,0.001486,-0.004807,0.001143,-0.995983,-0.011421,-0.088811,0.011562,-0.000267,-0.002696,-49.420380,31.372742,51.160828,,,,,,
1484020760.003298,-1.481868,0.011414,-2.527218,0.001489,-0.004804,0.000076,-0.995984,-0.011414,-0.088805,0.012310,-0.000015,-0.002595,-49.419601,31.522827,51.235107,,,,,,
1484020760.023318,-1.481858,0.011411,-2.527215,-0.000655,-0.003760,0.001123,-0.995983,-0.011411,-0.088815,0.011730,-0.000232,-0.000845,-48.894180,31.597229,51.310486,,,,,,
1484020760.043307,-1.481870,0.011405,-2.527201,0.000419,-0.004811,0.001139,-0.995984,-0.011405,-0.088803,0.010556,0.000952,-0.001498,-48.894180,31.597229,51.310486,,,,,,
1484020760.063325,-1.481921,0.011449,-2.527171,0.001489,-0.004799,0.000075,-0.995988,-0.011449,-0.088753,0.011735,-0.001277,-0.000694,-48.745209,31.446167,50.786499,,,,,,
1484020760.083314,-1.481970,0.011426,-2.527130,0.002548,-0.003727,0.000064,-0.995993,-0.011426,-0.088704,0.010946,0.000897,-0.000545,-49.569138,31.598328,51.384460,,,,,,
1484020760.103334,-1.481943,0.011428,-2.527098,0.001485,-0.003733,-0.001005,-0.995990,-0.011427,-0.088731,0.011157,0.001814,-0.002715,-49.195358,31.372559,51.236206,,,,,,
1484020760.123323,-1.481943,0.011384,-2.527064,0.001492,-0.004793,-0.000990,-0.995991,-0.011384,-0.088730,0.011890,0.002717,-0.001235,-48.670547,31.371216,50.862000,,,,,,
1484020760.143342,-1.481933,0.011376,-2.527036,0.000422,-0.004801,0.000073,-0.995990,-0.011376,-0.088741,0.009555,-0.000572,-0.001820,-48.670547,31.371216,50.862000,,,,,,
1484020760.163332,-1.481942,0.011366,-2.527011,0.002552,-0.004781,0.001146,-0.995991,-0.011365,-0.088732,0.012211,0.000135,-0.001906,-48.894531,31.522339,51.385864,,,,,,
1484020760.183352,-1.481936,0.011348,-2.526976,0.001486,-0.004789,0.001143,-0.995990,-0.011348,-0.088738,0.012546,0.000789,-0.002281,-47.693787,31.670532,51.386902,,,,,,
1484020760.203341,-1.481937,0.011366,-2.526932,0.002556,-0.004776,0.000079,-0.995990,-0.011366,-0.088737,0.011081,0.001906,-0.001519,-49.119385,31.596985,50.935120,,,,,,
1484020760.223361,-1.481911,0.011345,-2.526898,0.000419,-0.004793,0.001140,-0.995988,-0.011345,-0.088763,0.011186,-0.000649,-0.001859,-49.194992,31.521423,50.485474,,,,,,
1484020760.243350,-1.481899,0.011381,-2.526869,0.001489,-0.004781,0.000075,-0.995987,-0.011381,-0.088775,0.010299,-0.001620,-0.002763,-49.194992,31.521423,50.485474,,,,,,
1484020760.263339,-1.481916,0.011419,-2.526841,0.001492,-0.004778,-0.000992,-0.995988,-0.011419,-0.088758,0.011796,0.000417,-0.000445,-48.669449,31.596069,50.785889,,,,,,
1484020760.283357,-1.481921,0.011379,-2.526817,0.000419,-0.004787,0.001139,-0.995989,-0.011379,-0.088753,0.012468,-0.000385,-0.001122,-49.342911,31.823303,51.608704,,,,,,
1484020760.303346,-1.481906,0.011418,-2.526798,0.001489,-0.004774,0.000075,-0.995987,-0.011418,-0.088768,0.010941,-0.002010,-0.001381,-48.893509,31.747009,51.159790,,,,,,
1484020760.323366,-1.481955,0.011424,-2.526785,0.001497,-0.005835,0.000088,-0.995991,-0.011423,-0.088719,0.008900,-0.000356,-0.000453,-48.819977,31.446960,51.236389,,,,,,
1484020760.343355,-1.481916,0.011425,-2.526763,0.000411,-0.002656,-0.001023,-0.995988,-0.011425,-0.088758,0.014634,0.001797,-0.003970,-48.819977,31.446960,51.236389,,,,,,
1484020760.363374,-1.481950,0.011458,-2.526745,0.000423,-0.004778,0.000071,-0.995990,-0.011457,-0.088724,0.011081,-0.001513,-0.000616,-49.119186,31.597534,51.310120,,,,,,
1484020760.383363,-1.481945,0.011490,-2.526711,0.001494,-0.005829,0.001154,-0.995990,-0.011490,-0.088729,0.010394,-0.000610,-0.000428,-49.118851,31.672424,51.234802,,,,,,
1484020760.403368,-1.481929,0.011412,-2.526703,0.000420,-0.004775,0.001138,-0.995989,-0.011411,-0.088744,0.011599,0.002577,-0.002564,-48.895309,31.372253,51.311584,,,,,,
1484020760.423357,-1.481900,0.011404,-2.526676,0.002567,-0.005813,-0.000975,-0.995987,-0.011404,-0.088773,0.010192,-0.000574,-0.002520,-48.670059,31.446533,51.086609,,,,,,
1484020760.443376,-1.481932,0.011413,-2.526661,0.000407,-0.002646,0.000043,-0.995989,-0.011413,-0.088741,0.009722,-0.001588,0.000851,-48.670059,31.446533,51.086609,,,,,,
1484020760.463365,-1.481927,0.011427,-2.526626,0.001486,-0.004759,0.001140,-0.995989,-0.011426,-0.088747,0.013460,-0.000887,-0.001875,-49.344528,31.523010,51.385193,,,,,,
1484020760.483385,-1.481906,0.011434,-2.526596,0.000423,-0.004765,0.000071,-0.995987,-0.011434,-0.088768,0.009781,0.000569,-0.002724,-48.894684,31.521912,51.085876,,,,,,
1484020760.503374,-1.481795,0.011455,-2.526393,0.011055,-0.000424,0.001110,-0.995977,-0.011455,-0.088878,0.012731,-0.000554,-0.002949,-48.895386,31.372009,51.161621,,,,,,
1484020760.523393,-1.481618,0.011449,-2.526114,0.013139,0.005964,0.002097,-0.995961,-0.011449,-0.089054,0.010243,0.000142,-0.001629,-48.967880,31.822815,51.684204,,,,,,
1484020760.543382,-1.481405,0.011431,-2.525772,0.018464,0.007074,0.002098,-0.995942,-0.011431,-0.089266,0.013871,-0.000807,-0.001524,-48.967880,31.822815,51.684204,,,,,,
1484020760.563402,-1.481240,0.011496,-2.525483,0.012108,0.000651,0.003230,-0.995927,-0.011496,-0.089430,0.011094,-0.002863,-0.001741,-49.118896,31.672302,51.159790,,,,,,
1484020760.583391,-1.481141,0.011538,-2.525289,0.008914,0.000628,0.001087,-0.995917,-0.011537,-0.089530,0.008552,-0.000853,-0.003473,-48.970551,31.371643,50.861572,,,,,,
1484020760.603411,-1.481050,0.011534,-2.525058,0.014247,0.000676,0.001102,-0.995909,-0.011533,-0.089620,0.010283,0.001279,-0.001093,-48.595886,31.296204,50.937439,,,,,,
1484020760.623400,-1.480963,0.011588,-2.524802,0.013212,-0.003577,0.001155,-0.995901,-0.011588,-0.089707,0.015707,-0.002648,-0.003402,-49.194534,31.522766,51.385437,,,,,,
1484020760.643420,-1.480906,0.011569,-2.524523,0.014278,-0.003565,0.001158,-0.995896,-0.011569,-0.089763,0.012040,0.000888,-0.003605,-49.194534,31.522766,51.385437,,,,,,
1484020760.663408,-1.480915,0.011505,-2.524286,0.012145,-0.003582,0.001153,-0.995897,-0.011505,-0.089754,0.006350,0.002304,-0.001204,-48.746185,31.221680,51.087585,,,,,,
1484020760.683397,-1.480881,0.011457,-2.524097,0.007855,-0.000434,0.001100,-0.995895,-0.011456,-0.089788,0.008606,0.001233,0.000402,-48.520432,31.371338,51.087219,,,,,,
1484020760.703417,-1.480791,0.011435,-2.523949,0.007874,-0.002553,0.000063,-0.995887,-0.011434,-0.089878,0.011878,0.000799,-0.001293,-48.970139,31.446716,50.936096,,,,,,
1484020760.723406,-1.480762,0.011434,-2.523819,0.005756,-0.004693,0.000085,-0.995884,-0.011434,-0.089907,0.012852,-0.000651,-0.001355,-48.969833,31.447632,51.536133,,,,,,
1484020760.743425,-1.480792,0.011491,-2.523715,0.003631,-0.005771,0.000092,-0.995887,-0.011491,-0.089877,0.014106,-0.000930,-0.000059,-48.969833,31.447632,51.536133,,,,,,
1484020760.763414,-1.480827,0.011524,-2.523649,0.003634,-0.005769,-0.000975,-0.995889,-0.011524,-0.089842,0.008890,-0.000226,-0.001650,-48.895279,31.372375,51.386597,,,,,,
1484020760.783434,-1.480827,0.011515,-2.523600,0.001520,-0.007907,-0.002019,-0.995889,-0.011514,-0.089842,0.009531,0.000955,-0.003618,-48.671555,31.146545,51.088074,,,,,,
1484020760.803423,-1.480873,0.011480,-2.523552,0.001601,-0.019579,-0.000796,-0.995894,-0.011480,-0.089796,0.015517,0.000082,-0.006121,-48.745361,31.371887,51.236877,,,,,,
1484020760.823442,-1.481127,0.011529,-2.523518,0.001682,-0.030189,-0.001722,-0.995916,-0.011529,-0.089543,0.014395,0.000497,-0.005656,-48.896027,31.222351,51.387390,,,,,,
1484020760.843431,-1.483517,0.011544,-2.523488,0.002773,-0.326335,0.001146,-0.996127,-0.011544,-0.087163,0.006793,-0.001213,-0.092357,-48.896027,31.222351,51.387390,,,,,,
1484020760.863451,-1.495057,0.011520,-2.523325,0.010064,-0.740292,0.002396,-0.997067,-0.011520,-0.075662,0.012631,0.000305,-0.118140,-48.669495,31.522095,51.461243,,,,,,
1484020760.883440,-1.517435,0.011358,-2.523111,0.014973,-1.415430,0.012440,-0.998512,-0.011358,-0.053333,0.019981,-0.004969,-0.230130,-48.369232,31.522461,51.986633,,,,,,
1484020760.903459,-1.554018,0.011166,-2.522994,-0.013305,-1.923114,0.009499,-0.999797,-0.011165,-0.016777,0.035090,-0.001438,-0.118355,-49.342850,31.675720,53.184387,,,,,,
1484020760.923448,-1.578521,0.011112,-2.525007,-0.042736,-0.814005,0.004290,-0.999908,-0.011112,0.007724,0.019577,-0.007351,0.280026,-49.341797,31.752747,54.534058,,,,,,
1484020760.943468,-1.591535,0.011112,-2.524845,0.007327,-0.656447,-0.000858,-0.999723,-0.011111,0.020736,0.010099,0.007709,-0.016632,-49.341797,31.752747,54.534058,,,,,,
1484020760.963457,-1.606717,0.011135,-2.525039,-0.031328,-0.913690,0.000313,-0.999293,-0.011135,0.035910,0.013026,0.092861,-0.054725,-49.192169,31.603638,55.285034,,,,,,
1484020760.983476,-1.630290,0.011600,-2.526401,-0.104753,-1.206215,-0.055743,-0.998164,-0.011600,0.059455,-0.008764,-0.064084,-0.050971,-49.641632,31.605896,56.334290,,,,,,
1484020761.003465,-1.660036,0.016444,-2.530646,-0.316504,-1.727931,-0.377933,-0.995886,-0.016443,0.089109,-0.109140,0.113504,-0.135023,-49.117233,31.381653,57.386230,,,,,,
1484020761.023485,-1.672609,0.028494,-2.528144,0.380766,0.351777,-0.714991,-0.994418,-0.028491,0.101596,-0.037916,0.065249,0.646542,-48.595184,30.707092,58.215393,,,,,,
1484020761.043474,-1.669582,0.043650,-2.518524,0.458825,0.226240,-0.828293,-0.994177,-0.043636,0.098531,0.005026,0.023998,0.041773,-48.595184,30.707092,58.215393,,,,,,
1484020761.063494,-1.666176,0.058965,-2.506956,0.518560,0.209738,-0.788439,-0.993725,-0.058931,0.095070,0.031444,0.057741,-0.040123,-48.372101,30.331665,58.142578,,,,,,
1484020761.083483,-1.660624,0.070973,-2.495470,0.501535,0.410027,-0.579962,-0.993461,-0.070913,0.089481,0.057380,0.017813,-0.064045,-48.079727,28.904785,57.175171,,,,,,
1484020761.103472,-1.646889,0.081013,-2.486319,0.345447,1.023280,-0.535220,-0.993836,-0.080924,0.075770,-0.055633,-0.036218,-0.048838,-47.859344,28.004150,56.954956,,,,,,
1484020761.123491,-1.616184,0.094442,-2.480385,0.225106,1.839922,-0.813054,-0.994518,-0.094301,0.045170,-0.142933,0.035433,-0.036076,-47.862076,27.552673,55.982239,,,,,,
1484020761.143480,-1.579409,0.113737,-2.474250,0.348017,1.758424,-1.050537,-0.993502,-0.113492,0.008557,-0.204176,0.048398,-0.072186,-47.862076,27.552673,55.982239,,,,,,
1484020761.163500,-1.554187,0.135003,-2.465087,0.506730,1.063418,-1.060054,-0.990764,-0.134594,-0.016457,-0.181446,-0.022282,-0.099098,-48.090759,27.024841,53.884583,,,,,,
1484020761.183489,-1.536931,0.156100,-2.456516,0.384692,0.973167,-1.049606,-0.987275,-0.155467,-0.033447,-0.182434,-0.121266,-0.110199,-47.877899,24.919739,50.670410,,,,,,
1484020761.203508,-1.510314,0.177529,-2.453677,0.058850,1.632768,-1.066762,-0.982483,-0.176598,-0.059495,-0.232879,-0.157966,-0.104522,-47.432404,24.166870,49.174805,,,,,,
1484020761.223497,-1.469611,0.199004,-2.457910,-0.219119,2.178169,-1.118528,-0.975250,-0.197693,-0.099019,-0.193939,-0.136764,-0.104701,-46.836929,23.487549,46.929077,,,,,,
