timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1484021050.107965,-0.008894,0.568915,2.625311,-0.196375,0.058317,-0.108377,-0.007493,-0.538719,-0.842452,-0.010757,0.015022,0.001892,12.787613,12.609863,4.772949,,,,,,
,,,,,,,,,,,,,,,,33.759178,-118.389181,321.571960,-1.000000,-1.000000,1484021050.088431
,,,,,,,,,,,,,,,,33.759178,-118.389181,321.571960,-1.000000,-1.000000,1484021045.300071
1484021050.127984,-0.005272,0.563669,2.623092,-0.337088,0.184457,-0.089122,-0.004456,-0.534291,-0.845289,-0.017501,-0.013484,0.007352,12.940308,13.134888,4.920593,,,,,,
1484021050.147973,0.000596,0.554031,2.622070,-0.566441,0.301276,-0.012402,0.000506,-0.526119,-0.850411,-0.025805,-0.016651,-0.021492,12.796906,14.410706,5.363953,,,,,,
1484021050.167993,0.005692,0.540896,2.622592,-0.693026,0.235369,0.031842,0.004879,-0.514905,-0.857234,-0.029629,-0.045078,-0.076498,13.020844,14.259521,4.765076,,,,,,
1484021050.187982,0.011381,0.526895,2.623353,-0.711291,0.409334,0.007081,0.009837,-0.502852,-0.864317,-0.030788,-0.035051,-0.014803,13.174637,15.009399,4.836548,,,,,,
1484021050.208001,0.026510,0.511564,2.622910,-0.844532,1.010161,-0.066338,0.023114,-0.489542,-0.871673,-0.045956,-0.023718,0.025558,13.174637,15.009399,4.836548,,,,,,
1484021050.227990,0.055598,0.491659,2.622201,-1.091527,1.673616,-0.064120,0.048987,-0.472089,-0.880189,-0.052695,-0.018084,0.026109,12.429565,15.911682,5.655945,,,,,,
1484021050.248010,0.092102,0.466556,2.623108,-1.352814,1.952639,-0.049373,0.082142,-0.449813,-0.889337,-0.088795,-0.046387,-0.034064,14.681793,16.358337,5.657104,,,,,,
1484021050.267999,0.134281,0.438067,2.624331,-1.435557,2.235487,-0.180290,0.121236,-0.424190,-0.897421,-0.103307,-0.038365,-0.046762,15.967255,18.308533,7.074219,,,,,,
1484021050.288019,0.182247,0.409876,2.621457,-1.347503,2.418065,-0.465108,0.166228,-0.398495,-0.901981,-0.069976,0.072201,0.044239,16.947769,19.357849,7.595398,,,,,,
1484021050.308013,0.230427,0.381386,2.614817,-1.288850,2.051431,-0.632860,0.211983,-0.372207,-0.903618,-0.071159,0.159606,0.067604,16.947769,19.357849,7.595398,,,,,,
1484021050.328032,0.252246,0.360159,2.609292,-0.732727,0.301264,-0.405381,0.233566,-0.352423,-0.906226,-0.117203,0.117545,-0.019678,18.078827,20.408630,9.241882,,,,,,
1484021050.348021,0.241929,0.352401,2.605711,-0.136371,-0.963389,-0.194898,0.224853,-0.345153,-0.911214,-0.066406,0.097396,0.097112,19.136520,21.833740,10.361328,,,,,,
1484021050.368041,0.216971,0.348158,2.599935,-0.261064,-1.594797,-0.468453,0.202357,-0.341167,-0.917963,0.090658,0.032833,-0.003561,19.143860,23.333252,10.053833,,,,,,
1484021050.388030,0.186453,0.338301,2.585428,-0.310831,-1.601153,-0.930345,0.174867,-0.331885,-0.926970,0.035917,0.003348,0.160125,17.574158,24.459656,9.370911,,,,,,
1484021050.408019,0.182063,0.334753,2.564165,0.198684,0.087068,-1.017428,0.171009,-0.328535,-0.928881,0.008969,0.029662,0.245593,17.574158,24.459656,9.370911,,,,,,
