timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1487811295.884705,0.163070,1.490803,0.577940,-0.346865,-0.070463,0.031245,0.012973,-0.996802,-0.078848,0.035138,-0.021218,-0.018213,-13.687012,-35.498833,2.179718,,,,,,
,,,,,,,,,,,,,,,,37.782440,-122.391505,11.848755,0.500000,300.937500,1487811295.886523
1487811295.904694,0.148279,1.485716,0.592324,-0.112602,-0.017462,0.031201,0.012554,-0.996383,-0.084045,0.013264,0.006255,-0.038117,-13.612564,-35.574501,1.805206,,,,,,
,,,,,,,,,,,,,,,,37.782440,-122.391505,11.848755,0.500000,300.937500,1487811295.002078
1487811295.924713,0.149359,1.487260,0.590532,0.158609,-0.037342,-0.012556,0.012416,-0.996513,-0.082510,-0.000667,0.017784,-0.022562,-13.988495,-35.798378,2.180756,,,,,,
1487811295.944702,0.161058,1.490707,0.577777,0.173928,-0.080710,-0.035397,0.012830,-0.996795,-0.078968,-0.006314,0.004989,-0.002315,-13.911926,-35.498268,2.329346,,,,,,
1487811295.964722,0.167728,1.493057,0.568174,0.086926,-0.156873,-0.004770,0.012965,-0.996980,-0.076571,-0.010050,-0.012648,0.046191,-13.986404,-35.348839,1.878479,,,,,,
1487811295.984711,0.157278,1.494472,0.577189,-0.041226,-0.003034,0.034437,0.011943,-0.997089,-0.075309,-0.022090,-0.007611,0.052543,-13.986404,-35.348839,1.878479,,,,,,
1487811296.004730,0.152595,1.492419,0.583156,-0.124846,0.073777,-0.012686,0.011901,-0.996930,-0.077387,-0.017303,0.011426,0.006113,-13.760605,-35.272942,2.703461,,,,,,
1487811296.024719,0.157249,1.490307,0.579458,-0.055108,0.028765,-0.039619,0.012591,-0.996762,-0.079411,-0.001757,0.004346,-0.010982,-13.762909,-35.723045,2.630707,,,,,,
1487811296.044739,0.165364,1.490227,0.571291,0.023005,-0.010906,-0.025003,0.013248,-0.996756,-0.079384,0.016598,-0.000192,-0.008827,-13.537445,-35.574287,2.030304,,,,,,
1487811296.064728,0.170857,1.490097,0.565557,-0.015460,-0.014459,0.003719,0.013706,-0.996746,-0.079438,0.015423,0.002162,-0.007965,-13.237915,-35.649956,1.881104,,,,,,
1487811296.084719,0.165855,1.489029,0.570057,-0.073984,-0.036208,0.009173,0.013484,-0.996659,-0.080555,-0.000224,0.005967,-0.008114,-13.237915,-35.649956,1.881104,,,,,,
,,,,,,,,,,,,,,,,37.782428,-122.391522,11.906647,0.500000,300.937500,1487811296.002079
1487811296.104709,0.156830,1.487681,0.578240,-0.050459,-0.042363,0.004001,0.012967,-0.996548,-0.082001,-0.014172,0.005108,-0.004455,-13.763809,-35.873497,2.331451,,,,,,
1487811296.124728,0.156005,1.487379,0.578307,0.000674,-0.027039,-0.010988,0.012946,-0.996523,-0.082309,-0.014060,0.008135,0.003665,-13.538651,-35.799507,1.881409,,,,,,
1487811296.144717,0.159473,1.487549,0.575154,0.005498,0.038812,-0.001183,0.013204,-0.996537,-0.082096,0.000376,-0.004607,0.003285,-13.538284,-35.724510,1.881042,,,,,,
1487811296.164737,0.156719,1.487301,0.578520,-0.028479,0.009834,0.017237,0.013017,-0.996516,-0.082376,0.011001,0.003215,-0.006415,-13.088760,-35.800514,1.657104,,,,,,
1487811296.184726,0.150640,1.486314,0.584118,-0.054800,-0.040298,0.023154,0.012663,-0.996433,-0.083426,0.005983,0.004399,-0.004388,-13.088760,-35.800514,1.657104,,,,,,
1487811296.204715,0.139522,1.485075,0.594299,-0.053586,-0.050875,-0.001215,0.011907,-0.996328,-0.084784,-0.013158,0.008215,-0.001702,-13.763687,-35.799278,1.806091,,,,,,
1487811296.224734,0.139117,1.484328,0.593736,-0.023776,-0.030411,-0.032321,0.011976,-0.996264,-0.085526,-0.012616,0.006274,0.000123,-13.463135,-35.650291,1.430786,,,,,,
1487811296.244723,0.144801,1.484568,0.588072,0.006745,0.019733,-0.014768,0.012427,-0.996285,-0.085221,0.005624,-0.016304,0.007660,-13.387451,-35.574501,2.030548,,,,,,
1487811296.264743,0.155212,1.484549,0.578438,-0.027634,0.042751,0.013592,0.013316,-0.996283,-0.085105,0.020390,-0.011957,0.004203,-13.462006,-35.425301,1.429657,,,,,,
1487811296.284732,0.158699,1.483323,0.575312,-0.058202,-0.007419,0.013072,0.013806,-0.996177,-0.086264,0.017154,-0.006951,-0.005182,-13.462006,-35.425301,1.429657,,,,,,
1487811296.304751,0.160967,1.481856,0.572135,-0.021423,-0.065458,-0.020200,0.014236,-0.996047,-0.087675,0.003907,0.007720,-0.012041,-13.613770,-35.799736,1.656311,,,,,,
1487811296.324740,0.168761,1.482043,0.563570,0.042191,-0.004372,-0.041096,0.014888,-0.996064,-0.087378,0.002675,0.000855,0.002279,-13.538757,-35.799843,1.656433,,,,,,
1487811296.344760,0.185656,1.483148,0.547449,0.064160,0.058460,-0.049344,0.016158,-0.996161,-0.086032,0.008134,-0.013284,0.001865,-13.239044,-35.874947,1.882233,,,,,,
1487811296.364749,0.206619,1.483752,0.527429,0.036574,0.034849,-0.040603,0.017835,-0.996214,-0.085085,0.017825,-0.014009,-0.002576,-13.689148,-35.874611,1.656586,,,,,,
1487811296.384768,0.220274,1.483635,0.514187,-0.007148,0.020629,-0.010703,0.019020,-0.996204,-0.084948,0.015495,-0.013867,-0.005110,-13.689148,-35.874611,1.656586,,,,,,
1487811296.404757,0.222843,1.482567,0.511809,-0.032586,-0.002954,-0.010477,0.019474,-0.996110,-0.085936,0.003201,0.007875,-0.013612,-13.612869,-35.649284,1.955566,,,,,,
1487811296.424777,0.221510,1.481442,0.512625,0.000639,-0.023892,-0.018636,0.019605,-0.996011,-0.087055,-0.000852,0.020913,-0.017803,-13.463013,-35.649956,1.655792,,,,,,
1487811296.444766,0.224428,1.481616,0.509065,0.043479,-0.037291,-0.047124,0.019821,-0.996026,-0.086829,-0.009689,0.032174,-0.008020,-13.462906,-35.649620,1.880768,,,,,,
1487811296.464785,0.231735,1.481904,0.500811,0.039315,-0.042610,-0.071577,0.020389,-0.996052,-0.086402,-0.022052,0.028187,-0.006356,-13.537979,-35.649727,1.730682,,,,,,
1487811296.484774,0.238750,1.482135,0.492659,0.012707,-0.052397,-0.068298,0.020940,-0.996072,-0.086033,-0.019826,0.009164,-0.000240,-13.537979,-35.649727,1.730682,,,,,,
1487811296.504794,0.245658,1.482294,0.485085,-0.010037,-0.010142,-0.053971,0.021495,-0.996086,-0.085733,-0.014278,0.000801,0.012613,-13.386520,-35.350075,1.654419,,,,,,
1487811296.524783,0.257381,1.482318,0.474059,-0.021255,0.052356,-0.017513,0.022493,-0.996088,-0.085452,0.014083,-0.015005,0.013339,-12.562531,-35.575966,1.881744,,,,,,
1487811296.544802,0.256165,1.481947,0.476247,-0.015925,0.039632,0.014669,0.022482,-0.996055,-0.085837,0.027597,-0.018150,-0.000665,-12.188217,-35.726311,2.033081,,,,,,
1487811296.564792,0.255224,1.481484,0.477492,-0.017704,-0.010284,0.017445,0.022518,-0.996014,-0.086304,0.021092,-0.005862,-0.007416,-13.088394,-35.725517,1.656738,,,,,,
1487811296.584811,0.252593,1.481419,0.478916,0.006381,-0.086488,-0.002807,0.022307,-0.996009,-0.086426,-0.002181,0.004508,-0.003342,-13.088394,-35.725517,1.656738,,,,,,
1487811296.604800,0.251209,1.482437,0.478693,0.049989,-0.063799,-0.013632,0.021935,-0.996099,-0.085475,-0.021295,-0.001750,0.016215,-13.313766,-35.800179,1.656769,,,,,,
1487811296.624820,0.260088,1.484024,0.469540,0.113395,0.019565,-0.018824,0.022287,-0.996238,-0.083749,-0.021722,-0.010369,0.049112,-13.012909,-35.650291,1.881439,,,,,,
1487811296.644809,0.275476,1.488007,0.455713,0.143493,0.129152,0.003277,0.022493,-0.996575,-0.079576,-0.004061,-0.024986,0.059603,-13.387299,-35.574059,2.330536,,,,,,
1487811296.664828,0.281703,1.489561,0.453706,0.014751,0.226746,0.012279,0.022558,-0.996702,-0.077947,0.011637,-0.007418,0.037405,-12.788528,-35.800285,2.107544,,,,,,
1487811296.684817,0.276950,1.487271,0.460836,-0.172662,0.031883,0.022846,0.022811,-0.996514,-0.080249,0.018128,-0.009239,-0.010144,-12.788528,-35.800285,2.107544,,,,,,
1487811296.704837,0.257787,1.483574,0.478581,-0.185513,-0.107298,0.023590,0.022208,-0.996199,-0.084234,0.002465,-0.002047,-0.006343,-13.088455,-35.799614,2.257080,,,,,,
1487811296.724826,0.238977,1.482017,0.495146,-0.032976,-0.105955,0.019764,0.020987,-0.996062,-0.086143,-0.022376,-0.001329,0.002326,-12.863663,-35.800514,1.882416,,,,,,
1487811296.744845,0.239730,1.483042,0.494297,0.087345,0.075583,0.003833,0.020810,-0.996152,-0.085136,-0.029416,-0.000171,0.029350,-13.163528,-35.799736,2.106995,,,,,,
1487811296.764834,0.241377,1.485043,0.495864,0.079198,0.166809,0.009017,0.020473,-0.996325,-0.083165,-0.020275,-0.000241,0.004247,-12.939667,-36.025063,2.108429,,,,,,
1487811296.784854,0.242694,1.486032,0.495856,0.031376,-0.005592,0.014369,0.020346,-0.996410,-0.082182,-0.007269,-0.001317,-0.025972,-12.939667,-36.025063,2.108429,,,,,,
1487811296.804843,0.237266,1.485870,0.499353,-0.013594,-0.125936,0.006240,0.019938,-0.996396,-0.082448,-0.000803,0.008862,-0.011439,-13.088440,-35.725624,1.581726,,,,,,
1487811296.824862,0.234531,1.485304,0.500220,-0.035392,-0.057111,-0.006469,0.019843,-0.996348,-0.083050,-0.012153,0.008860,0.012143,-13.088364,-35.725395,1.731720,,,,,,
1487811296.844851,0.234218,1.484675,0.501032,-0.048045,0.070172,-0.008191,0.019963,-0.996294,-0.083667,-0.004902,0.008974,0.013080,-13.313400,-35.725182,1.656403,,,,,,
1487811296.864871,0.235880,1.483883,0.501441,-0.014265,0.109725,0.011638,0.020286,-0.996225,-0.084400,0.006997,0.009104,-0.007717,-13.088608,-35.800072,1.957092,,,,,,
1487811296.884860,0.235537,1.483054,0.502157,0.056179,-0.053166,0.027845,0.020450,-0.996153,-0.085210,0.011578,0.014311,-0.032725,-13.088608,-35.800072,1.957092,,,,,,
1487811296.904879,0.232299,1.484659,0.502588,0.122100,-0.175747,0.038183,0.019806,-0.996292,-0.083720,0.002777,0.016114,-0.002675,-13.089142,-35.875511,1.657501,,,,,,
1487811296.924868,0.222753,1.488659,0.509019,0.131499,-0.143809,0.036744,0.018125,-0.996629,-0.080018,-0.016630,0.011353,0.034578,-13.313324,-35.724953,1.806396,,,,,,
1487811296.944888,0.217984,1.491276,0.513229,0.103236,0.065055,0.059488,0.017179,-0.996840,-0.077557,-0.013212,0.003249,0.065960,-13.463577,-35.799400,2.031555,,,,,,
1487811296.964877,0.205824,1.492023,0.529005,-0.072728,0.206830,0.061370,0.016083,-0.996899,-0.077031,-0.001663,0.012585,0.023625,-13.314102,-35.948936,2.482513,,,,,,
1487811296.984896,0.188089,1.489269,0.549304,-0.179267,0.048796,0.048231,0.015227,-0.996678,-0.080001,-0.000594,0.009679,-0.016419,-13.314102,-35.948936,2.482513,,,,,,
1487811297.004886,0.167662,1.485934,0.567897,-0.135018,-0.154605,0.013740,0.014145,-0.996401,-0.083572,-0.012222,0.014559,-0.013260,-13.162598,-35.575294,1.730865,,,,,,
1487811297.024905,0.168511,1.484470,0.564548,-0.027712,-0.072932,-0.042500,0.014460,-0.996276,-0.084998,-0.018580,0.005737,0.018469,-13.538651,-35.799507,1.881409,,,,,,
1487811297.044894,0.184676,1.485175,0.549275,0.032893,0.113404,-0.071463,0.015703,-0.996337,-0.084063,-0.003359,-0.001222,0.023440,-12.863739,-35.800743,1.732422,,,,,,
1487811297.064914,0.203023,1.485442,0.533234,0.011705,0.087727,-0.057318,0.017189,-0.996360,-0.083500,0.010307,-0.007486,-0.008236,-13.161728,-35.424965,1.955109,,,,,,
1487811297.084895,0.213982,1.484336,0.522003,-0.050152,-0.068889,-0.037294,0.018337,-0.996265,-0.084383,0.010746,-0.011243,-0.014845,-13.161728,-35.424965,1.955109,,,,,,
1487811297.104914,0.215131,1.482548,0.519041,-0.103431,-0.076787,-0.036275,0.018814,-0.996109,-0.086102,0.000641,-0.007431,-0.000446,-13.239487,-35.950172,1.732605,,,,,,
,,,,,,,,,,,,,,,,37.782420,-122.391528,11.980957,0.370000,300.937500,1487811297.002078
1487811297.124903,0.222859,1.480488,0.511338,-0.086169,0.051837,-0.058202,0.019933,-0.995925,-0.087956,0.002467,-0.004609,0.004948,-13.088684,-35.800285,1.807098,,,,,,
1487811297.144923,0.233119,1.479876,0.502763,0.025474,0.088879,-0.029576,0.020975,-0.995870,-0.088339,0.008398,-0.026195,0.001364,-12.938248,-35.725288,1.956940,,,,,,
1487811297.164912,0.242424,1.481076,0.495062,0.071319,0.074372,0.013397,0.021509,-0.995978,-0.086980,0.016852,-0.018060,-0.006786,-12.863815,-35.800972,1.582428,,,,,,
1487811297.184931,0.242775,1.481048,0.495330,-0.001703,-0.008016,0.016401,0.021546,-0.995975,-0.087000,0.004287,-0.000332,-0.017447,-12.863815,-35.800972,1.582428,,,,,,
1487811297.204920,0.233662,1.479556,0.503073,-0.049008,-0.094389,-0.011375,0.021097,-0.995840,-0.088638,-0.008020,0.006033,-0.012299,-13.390228,-36.099953,1.733154,,,,,,
1487811297.224940,0.231435,1.479018,0.503757,-0.008771,-0.047309,-0.026802,0.021022,-0.995791,-0.089206,-0.007365,-0.003278,0.003756,-13.014786,-36.025291,1.883331,,,,,,
1487811297.244929,0.237357,1.479924,0.498279,0.044818,0.062499,-0.020634,0.021338,-0.995874,-0.088204,-0.002310,-0.007208,0.006874,-12.862534,-35.575523,1.881317,,,,,,
1487811297.264948,0.247409,1.480472,0.489662,0.029854,0.060227,-0.005728,0.022090,-0.995924,-0.087455,0.012426,-0.006609,-0.008218,-12.937866,-35.650291,1.956573,,,,,,
1487811297.284937,0.252629,1.479192,0.484139,-0.025808,-0.066607,0.005365,0.022865,-0.995807,-0.088573,0.018899,-0.009823,-0.022694,-12.937866,-35.650291,1.956573,,,,,,
