timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1484011325.799913,-0.001899,0.047900,-1.222803,-0.004690,0.000230,0.002033,-0.001897,-0.047882,-0.998851,0.000432,0.001068,0.007167,-7.637192,72.123413,-39.955261,,,,,,
1484011325.819932,-0.001861,0.047941,-1.222758,0.000623,0.001343,0.003086,-0.001859,-0.047922,-0.998849,0.000653,0.000773,0.005197,-7.637192,72.123413,-39.955261,,,,,,
,,,,,,,,,,,,,,,,33.759177,-118.389184,321.610077,-1.000000,-1.000000,1484011325.783731
,,,,,,,,,,,,,,,,33.759177,-118.389184,321.610077,-1.000000,-1.000000,1484011319.949889
1484011325.839921,-0.001849,0.047939,-1.222729,0.002771,0.000302,0.000973,-0.001846,-0.047921,-0.998849,0.001282,0.001305,0.004419,-7.335831,72.348694,-39.505920,,,,,,
1484011325.859941,-0.001886,0.047900,-1.222698,-0.001488,-0.000797,0.000975,-0.001884,-0.047882,-0.998851,-0.000405,0.000793,0.006359,-7.857040,73.099609,-39.435425,,,,,,
1484011325.879930,-0.001910,0.047906,-1.222667,-0.001494,-0.000799,0.003108,-0.001908,-0.047887,-0.998851,-0.000167,0.000524,0.005305,-7.785080,72.499329,-39.507324,,,,,,
1484011325.899935,-0.001909,0.047890,-1.222643,0.000648,-0.000777,-0.000086,-0.001907,-0.047871,-0.998852,0.000320,0.000859,0.005855,-7.859787,72.500366,-38.907410,,,,,,
1484011325.919924,-0.001871,0.047857,-1.222620,-0.001504,0.001326,0.000947,-0.001869,-0.047839,-0.998853,0.000816,0.000903,0.005628,-7.859787,72.500366,-38.907410,,,,,,
1484011325.939943,-0.001904,0.047875,-1.222572,0.000639,-0.000780,0.003114,-0.001902,-0.047856,-0.998852,-0.000646,0.000356,0.007214,-8.606857,73.027344,-38.311279,,,,,,
1484011325.959963,-0.001911,0.047892,-1.222537,0.001719,-0.001830,0.000998,-0.001909,-0.047874,-0.998852,0.000826,0.000313,0.005321,-8.308014,72.875671,-39.135010,,,,,,
1484011325.979952,-0.001920,0.047855,-1.222502,0.000641,-0.001835,0.002047,-0.001918,-0.047837,-0.998853,0.000804,0.000794,0.005994,-8.006927,73.026245,-38.460327,,,,,,
1484011325.999971,-0.001935,0.047814,-1.222488,-0.000437,0.000280,0.000950,-0.001933,-0.047795,-0.998855,-0.000921,0.000814,0.007797,-7.560272,72.424561,-39.131653,,,,,,
1484011326.019960,-0.001961,0.047832,-1.222468,0.000637,-0.000773,0.000967,-0.001959,-0.047814,-0.998854,-0.001444,0.000375,0.003768,-7.560272,72.424561,-39.131653,,,,,,
1484011326.039980,-0.001951,0.047815,-1.222444,0.001703,-0.000763,0.000970,-0.001949,-0.047797,-0.998855,0.000545,0.002234,0.004776,-8.083282,72.800720,-38.909241,,,,,,
1484011326.059969,-0.001942,0.047838,-1.222415,0.001703,-0.000763,0.000970,-0.001939,-0.047820,-0.998854,0.000246,-0.000062,0.007857,-7.930069,73.474976,-39.212463,,,,,,
1484011326.079988,-0.001949,0.047840,-1.222390,0.000632,0.000290,-0.000114,-0.001947,-0.047822,-0.998854,-0.000220,0.000367,0.006544,-8.084061,72.650574,-38.983521,,,,,,
1484011326.099977,-0.001899,0.047829,-1.222362,0.000618,0.001350,0.002005,-0.001897,-0.047811,-0.998855,0.001485,0.001103,0.004424,-7.482788,72.875061,-38.683777,,,,,,
1484011326.119997,-0.001866,0.047825,-1.222328,0.000626,0.000289,0.002019,-0.001864,-0.047807,-0.998855,0.000476,0.001130,0.005492,-7.482788,72.875061,-38.683777,,,,,,
1484011326.139986,-0.001903,0.047822,-1.222314,0.001694,-0.000757,0.000954,-0.001901,-0.047804,-0.998855,0.000833,0.000304,0.007079,-8.458160,72.801575,-38.684875,,,,,,
1484011326.160005,-0.001888,0.047816,-1.222296,0.001687,0.000304,0.000940,-0.001885,-0.047798,-0.998855,0.001000,0.000954,0.007049,-7.782257,73.024902,-39.134949,,,,,,
1484011326.179994,-0.001952,0.047829,-1.222258,-0.000447,0.000286,0.000934,-0.001950,-0.047811,-0.998855,-0.001834,0.000356,0.004699,-7.782074,73.025452,-38.759949,,,,,,
1484011326.200014,-0.001972,0.047839,-1.222234,0.001691,-0.000758,0.002020,-0.001970,-0.047821,-0.998854,0.001130,0.000321,0.008787,-8.308838,72.651611,-38.533875,,,,,,
1484011326.220033,-0.001972,0.047838,-1.222216,0.000643,-0.002890,0.000979,-0.001970,-0.047819,-0.998854,-0.000930,0.000746,0.004713,-8.308838,72.651611,-38.533875,,,,,,
1484011326.240022,-0.002013,0.047829,-1.222185,0.000614,0.000293,0.003070,-0.002011,-0.047811,-0.998854,0.000211,0.001135,0.004241,-8.230698,73.325806,-38.987122,,,,,,
1484011326.260042,-0.002021,0.047821,-1.222171,0.000634,-0.000764,-0.001182,-0.002019,-0.047802,-0.998855,-0.000529,0.001050,0.006469,-7.484787,72.573608,-39.657227,,,,,,
1484011326.280031,-0.001985,0.047830,-1.222148,0.001697,-0.000756,-0.000113,-0.001983,-0.047812,-0.998854,0.000228,0.000525,0.006346,-7.336502,72.198853,-39.355164,,,,,,
1484011326.300050,-0.001964,0.047813,-1.222104,0.000607,0.000299,0.001987,-0.001961,-0.047795,-0.998855,-0.000327,0.001119,0.005539,-7.635910,72.348877,-39.656311,,,,,,
1484011326.320039,-0.002007,0.047822,-1.222074,0.001685,-0.000752,0.000937,-0.002005,-0.047804,-0.998855,-0.000375,0.000303,0.006255,-7.635910,72.348877,-39.656311,,,,,,
1484011326.340059,-0.002006,0.047824,-1.222045,-0.000451,-0.000772,0.001998,-0.002003,-0.047805,-0.998855,0.000905,0.000122,0.006637,-7.709106,72.649902,-39.057983,,,,,,
1484011326.360048,-0.002015,0.047819,-1.222027,0.000621,-0.000760,-0.000132,-0.002013,-0.047801,-0.998855,0.000319,0.000971,0.003951,-7.411392,72.273193,-39.880676,,,,,,
1484011326.380068,-0.002043,0.047832,-1.222007,0.001677,0.000310,0.000923,-0.002041,-0.047814,-0.998854,-0.000691,0.000893,0.006438,-7.188019,71.972534,-40.103821,,,,,,
1484011326.400057,-0.002055,0.047844,-1.221978,0.001693,-0.001813,0.000951,-0.002052,-0.047825,-0.998854,-0.001030,-0.000102,0.007399,-7.934296,72.649658,-39.433289,,,,,,
1484011326.420076,-0.002044,0.047833,-1.221955,0.000615,-0.000762,0.002001,-0.002042,-0.047815,-0.998854,0.001630,0.001108,0.003478,-7.934296,72.649658,-39.433289,,,,,,
1484011326.440065,-0.002035,0.047836,-1.221915,0.001677,0.000310,0.000923,-0.002033,-0.047818,-0.998854,-0.000073,0.001202,0.006071,-7.559448,72.648621,-39.732727,,,,,,
1484011326.460085,-0.002053,0.047871,-1.221896,0.002731,0.001387,-0.000172,-0.002050,-0.047853,-0.998852,-0.000666,0.000657,0.006970,-7.335266,72.498108,-39.881653,,,,,,
1484011326.480074,-0.002041,0.047871,-1.221874,-0.000467,0.000295,0.001967,-0.002039,-0.047853,-0.998852,0.000421,0.000749,0.007321,-6.886749,72.197510,-39.804504,,,,,,
1484011326.500093,-0.002027,0.047872,-1.221840,0.001669,0.000315,0.000906,-0.002025,-0.047853,-0.998852,-0.001012,0.000231,0.005459,-7.408905,72.723877,-39.432922,,,,,,
1484011326.520113,-0.002038,0.047860,-1.221800,0.000607,-0.000757,0.001984,-0.002036,-0.047842,-0.998853,-0.000925,0.000448,0.006879,-7.408905,72.723877,-39.432922,,,,,,
1484011326.540102,-0.002044,0.047850,-1.221782,-0.000467,0.000296,0.001967,-0.002041,-0.047832,-0.998853,-0.000522,0.000102,0.005384,-7.636017,72.274658,-39.130981,,,,,,
1484011326.560121,-0.002021,0.047869,-1.221754,0.001661,0.001377,0.000892,-0.002018,-0.047851,-0.998852,-0.000118,0.000197,0.006787,-7.111893,72.197388,-40.104797,,,,,,
1484011326.580110,-0.002006,0.047890,-1.221726,0.000607,-0.000756,0.001984,-0.002003,-0.047872,-0.998851,0.001301,0.000432,0.004894,-7.861069,72.274902,-39.206360,,,,,,
1484011326.600130,-0.001976,0.047874,-1.221693,0.000603,0.000306,0.000903,-0.001974,-0.047856,-0.998852,-0.000803,0.000935,0.005902,-8.010574,72.424316,-39.732300,,,,,,
1484011326.620119,-0.001960,0.047863,-1.221666,0.001659,0.000319,0.001954,-0.001958,-0.047845,-0.998853,0.000066,0.000390,0.006620,-8.010574,72.424316,-39.732300,,,,,,
1484011326.640138,-0.001966,0.047880,-1.221648,0.000596,0.000311,0.000885,-0.001964,-0.047861,-0.998852,-0.000218,0.000056,0.006909,-7.185760,72.348633,-39.355652,,,,,,
1484011326.660127,-0.001970,0.047882,-1.221619,0.001663,0.000321,0.000888,-0.001968,-0.047864,-0.998852,-0.000901,-0.000125,0.006024,-7.638016,71.973206,-40.104492,,,,,,
1484011326.680147,-0.001965,0.047864,-1.221597,0.000596,0.000311,0.000885,-0.001962,-0.047846,-0.998853,0.001749,0.001429,0.005628,-8.011612,72.199524,-39.581177,,,,,,
1484011326.700136,-0.001925,0.047841,-1.221581,0.000596,0.000312,0.000885,-0.001922,-0.047823,-0.998854,0.001144,0.001802,0.004484,-7.559418,72.648743,-39.657715,,,,,,
1484011326.720155,-0.001879,0.047840,-1.221555,0.000596,0.000312,0.000885,-0.001877,-0.047821,-0.998854,0.002243,0.000138,0.006300,-7.559418,72.648743,-39.657715,,,,,,
1484011326.740144,-0.001845,0.047818,-1.221533,-0.001537,0.000294,0.000879,-0.001843,-0.047799,-0.998855,-0.000354,0.001367,0.005066,-7.560654,72.423462,-39.881653,,,,,,
1484011326.760164,-0.001848,0.047800,-1.221505,-0.001530,-0.000768,0.000893,-0.001845,-0.047782,-0.998856,-0.000199,0.000709,0.007187,-7.786987,72.124207,-39.580505,,,,,,
1484011326.780184,-0.001888,0.047811,-1.221476,-0.001531,-0.001826,0.001955,-0.001886,-0.047793,-0.998856,-0.000296,0.000048,0.004806,-7.860794,72.349609,-39.431702,,,,,,
1484011326.800173,-0.001915,0.047809,-1.221436,0.001654,0.000325,0.001936,-0.001912,-0.047791,-0.998856,-0.001460,0.000916,0.007309,-7.636444,72.273438,-39.955994,,,,,,
1484011326.820192,-0.001902,0.047826,-1.221409,0.002720,0.000334,0.001939,-0.001900,-0.047808,-0.998855,-0.000038,0.000597,0.007018,-7.636444,72.273438,-39.955994,,,,,,
1484011326.840181,-0.001875,0.047859,-1.221361,0.001661,-0.000736,0.001950,-0.001872,-0.047841,-0.998853,0.000697,-0.000117,0.005277,-7.784515,72.648804,-39.883118,,,,,,
1484011326.860201,-0.001870,0.047876,-1.221334,-0.000472,-0.000755,0.001944,-0.001868,-0.047858,-0.998852,0.000586,0.001380,0.007291,-7.861313,72.200256,-38.980957,,,,,,
1484011326.880190,-0.001860,0.047852,-1.221317,0.001657,0.000327,0.000869,-0.001858,-0.047834,-0.998854,0.001065,0.000806,0.004743,-7.334488,72.648193,-39.807434,,,,,,
1484011326.900213,-0.001853,0.047812,-1.221295,0.000582,0.001379,0.000852,-0.001851,-0.047794,-0.998855,-0.000819,0.001041,0.005829,-7.485092,72.498840,-39.506897,,,,,,
1484011326.920202,-0.001871,0.047809,-1.221282,0.001664,-0.000735,0.000883,-0.001869,-0.047791,-0.998856,-0.000786,0.001755,0.005157,-7.485092,72.498840,-39.506897,,,,,,
1484011326.940222,-0.001860,0.047791,-1.221261,0.000584,0.000321,0.000847,-0.001858,-0.047773,-0.998856,0.000469,0.001615,0.006165,-7.636658,72.198853,-39.655579,,,,,,
1484011326.960211,-0.001853,0.047811,-1.221238,-0.000478,-0.000750,0.001925,-0.001851,-0.047793,-0.998856,-0.000148,0.000445,0.004211,-7.860840,72.349487,-39.506714,,,,,,
1484011326.980230,-0.001871,0.047834,-1.221209,0.000581,0.000320,0.001913,-0.001869,-0.047816,-0.998854,-0.001076,-0.000112,0.005873,-7.408981,72.649719,-38.832520,,,,,,
1484011327.000219,-0.001850,0.047830,-1.221172,0.001647,0.000330,0.001916,-0.001848,-0.047812,-0.998855,0.001451,0.000800,0.005935,-7.712143,72.123657,-39.880371,,,,,,
1484011327.020239,-0.001851,0.047832,-1.221150,0.000581,0.000321,0.001913,-0.001849,-0.047814,-0.998855,0.000018,0.000816,0.004760,-7.712143,72.123657,-39.880371,,,,,,
1484011327.040258,-0.001883,0.047840,-1.221121,0.000588,-0.000741,0.001927,-0.001881,-0.047821,-0.998854,-0.000561,0.000611,0.006026,-7.337936,71.973022,-39.954041,,,,,,
1484011327.060247,-0.001842,0.047835,-1.221091,0.000581,0.000321,0.001913,-0.001840,-0.047817,-0.998854,0.002587,0.000682,0.004805,-7.785599,72.350037,-39.056580,,,,,,
1484011327.080267,-0.001880,0.047815,-1.221061,0.000581,0.000321,0.001913,-0.001878,-0.047797,-0.998855,-0.001097,0.000510,0.003250,-7.560349,72.424316,-39.281616,,,,,,
1484011327.100256,-0.001885,0.047820,-1.221034,0.000578,0.000326,0.000827,-0.001883,-0.047802,-0.998855,0.000067,0.000683,0.004699,-7.110275,72.497742,-39.881348,,,,,,
1484011327.120275,-0.001887,0.047827,-1.221017,0.001644,0.000335,0.000830,-0.001884,-0.047809,-0.998855,-0.000755,0.000003,0.006454,-7.110275,72.497742,-39.881348,,,,,,
1484011327.140264,-0.001897,0.047843,-1.220994,0.001652,-0.000726,0.000844,-0.001895,-0.047825,-0.998854,0.000400,0.001011,0.006560,-7.711426,72.199646,-39.205750,,,,,,
1484011327.160284,-0.001880,0.047866,-1.220973,0.000575,0.000325,0.001894,-0.001877,-0.047847,-0.998853,0.000565,0.000057,0.005445,-7.558517,72.799194,-39.358459,,,,,,
1484011327.180273,-0.001883,0.047923,-1.220941,0.001641,0.000334,0.001897,-0.001880,-0.047904,-0.998850,-0.001003,-0.000618,0.006708,-7.785156,72.499084,-39.657288,,,,,,
1484011327.200293,-0.001892,0.047930,-1.220908,0.001660,-0.001788,0.000858,-0.001890,-0.047912,-0.998850,-0.000429,0.000823,0.004831,-7.487640,71.974060,-39.354248,,,,,,
1484011327.220282,-0.001899,0.047919,-1.220881,0.000572,0.000324,0.002960,-0.001897,-0.047901,-0.998850,-0.000361,0.001010,0.005656,-7.487640,71.974060,-39.354248,,,,,,
1484011327.240301,-0.001902,0.047907,-1.220859,-0.000476,-0.001807,0.001919,-0.001900,-0.047888,-0.998851,0.001000,-0.000116,0.005992,-6.210571,72.347778,-38.979187,,,,,,
1484011327.260290,-0.001920,0.047879,-1.220821,0.001635,0.000338,0.001876,-0.001918,-0.047861,-0.998852,-0.001057,0.000574,0.005047,-8.011765,72.199097,-39.881165,,,,,,
1484011327.280310,-0.001930,0.047890,-1.220799,0.000579,-0.000731,0.000820,-0.001928,-0.047872,-0.998852,-0.000193,0.000554,0.006695,-7.485764,72.349060,-39.356140,,,,,,
1484011327.300299,-0.001921,0.047898,-1.220762,0.000568,0.000329,0.001873,-0.001919,-0.047880,-0.998851,-0.000293,-0.000597,0.004314,-7.112671,71.973450,-39.428711,,,,,,
1484011327.320318,-0.001908,0.047897,-1.220736,-0.000490,-0.000742,0.001884,-0.001906,-0.047878,-0.998851,0.000532,0.000530,0.004268,-7.112671,71.973450,-39.428711,,,,,,
1484011327.340338,-0.001898,0.047897,-1.220710,0.000584,-0.001794,0.001901,-0.001896,-0.047878,-0.998851,0.000904,0.000332,0.005077,-7.711060,72.274658,-39.206116,,,,,,
1484011327.360327,-0.001895,0.047883,-1.220684,-0.001561,0.000312,0.000800,-0.001893,-0.047864,-0.998852,0.000336,0.000455,0.004544,-7.633759,72.724670,-39.133240,,,,,,
